Frame#,Time,LTOP_X,LTOP_Y,LTOP_Z,LFRONT_X,LFRONT_Y,LFRONT_Z,LBACK_X,LBACK_Y,LBACK_Z,RTOP_X,RTOP_Y,RTOP_Z,RFRONT_X,RFRONT_Y,RFRONT_Z,RBACK_X,RBACK_Y,RBACK_Z,TL1_X,TL1_Y,TL1_Z,TR1_X,TR1_Y,TR1_Z,BR1_X,BR1_Y,BR1_Z,BL1_X,BL1_Y,BL1_Z,TL2_X,TL2_Y,TL2_Z,TR2_X,TR2_Y,TR2_Z,BR2_X,BR2_Y,BR2_Z,BL2_X,BL2_Y,BL2_Z,TL3_X,TL3_Y,TL3_Z,TR3_X,TR3_Y,TR3_Z,BR3_X,BR3_Y,BR3_Z,BL3_X,BL3_Y,BL3_Z,TL4_X,TL4_Y,TL4_Z,BR4_X,BR4_Y,BR4_Z,BL4_X,BL4_Y,BL4_Z,TR4_X,TR4_Y,TR4_Z
11,0.05,-594.2202758789062,-493.7299499511719,884.5753173828125,-574.99609375,-525.1275634765625,830.1102905273438,-531.1934204101562,-534.5546875,847.6583251953125,-500.9614562988281,-290.3009033203125,877.2559814453125,-546.0572509765625,-263.9441833496094,853.9373779296875,-481.2789611816406,-263.2039794921875,829.616455078125,-1750.8016357421875,-120.05277252197266,537.9718017578125,-1748.8583984375,-261.08953857421875,537.3008422851562,-1781.8011474609375,-258.3550720214844,673.39599609375,-1783.9908447265625,-118.00558471679688,674.6192626953125,-1740.9527587890625,-492.6746826171875,526.8906860351562,-1744.3809814453125,-632.953857421875,521.1452026367188,-1766.5767822265625,-636.9911499023438,663.9903564453125,-1772.6824951171875,-493.1111755371094,662.1873168945312,-1784.683837890625,-490.18304443359375,713.4887084960938,-1778.3017578125,-633.11669921875,718.572265625,-1808.0174560546875,-632.382080078125,857.5221557617188,-1811.9417724609375,-492.7478332519531,853.7215576171875,-1795.8084716796875,-116.70849609375,724.2152099609375,-1822.7044677734375,-260.9544677734375,860.6166381835938,-1825.23681640625,-117.56034851074219,862.652099609375,-1794.693115234375,-258.711669921875,720.0425415039062
12,0.055,-594.2106323242188,-493.72344970703125,884.5538940429688,-573.01123046875,-524.0128173828125,828.324951171875,-531.1207885742188,-534.5361328125,847.595703125,-500.97406005859375,-290.29132080078125,877.2627563476562,-546.03857421875,-263.90869140625,853.8920288085938,-481.28228759765625,-263.2304992675781,829.614990234375,-1750.7843017578125,-120.0616455078125,537.945556640625,-1748.8997802734375,-261.04742431640625,537.2439575195312,-1781.8232421875,-258.4745788574219,673.4991455078125,-1784.0845947265625,-118.03083801269531,674.669677734375,-1740.8560791015625,-492.6983337402344,526.9033203125,-1744.3707275390625,-633.0219116210938,521.2223510742188,-1766.9876708984375,-636.7998657226562,663.8219604492188,-1772.6807861328125,-493.0752868652344,662.119140625,-1784.693603515625,-489.6754455566406,712.9404296875,-1778.3795166015625,-633.0740966796875,718.5089111328125,-1808.0499267578125,-632.2581787109375,857.411376953125,-1811.9439697265625,-492.7787170410156,853.8018798828125,-1795.7828369140625,-116.66657257080078,724.2052612304688,-1822.7464599609375,-260.4747314453125,860.09033203125,-1825.3431396484375,-117.7324447631836,863.0606689453125,-1794.6661376953125,-258.8315124511719,720.04052734375
13,0.06,-594.1785278320312,-493.7304382324219,884.5286254882812,-574.9920654296875,-525.7701416015625,830.4389038085938,-531.176025390625,-534.5826416015625,847.6517944335938,-501.00579833984375,-290.3463439941406,877.3123168945312,-546.0596313476562,-263.9367980957031,853.91796875,-481.30181884765625,-263.2314147949219,829.6188354492188,-1750.6549072265625,-120.252197265625,537.6832275390625,-1748.8546142578125,-261.150634765625,537.2816162109375,-1781.7703857421875,-258.5208435058594,673.519775390625,-1784.033935546875,-118.10692596435547,674.6408081054688,-1741.10986328125,-492.5386047363281,526.8192749023438,-1744.4364013671875,-632.9358520507812,521.171630859375,-1766.7490234375,-636.8943481445312,663.962158203125,-1772.69970703125,-493.11798095703125,662.2489013671875,-1784.6898193359375,-490.1907043457031,713.5162963867188,-1778.4674072265625,-633.044189453125,718.5009765625,-1809.357666015625,-632.416748046875,856.1104736328125,-1811.9451904296875,-492.7586669921875,853.8190307617188,-1795.814697265625,-116.6827392578125,724.154541015625,-1822.754150390625,-260.6605529785156,860.2728271484375,-1825.228759765625,-117.60050964355469,862.7689208984375,-1794.70654296875,-258.8894958496094,720.1076049804688
14,0.065,-594.1720581054688,-493.74835205078125,884.5347900390625,-576.1605224609375,-527.8960571289062,832.8343505859375,-531.1841430664062,-534.5629272460938,847.6463623046875,-501.0070495605469,-290.35308837890625,877.3203125,-546.0435791015625,-263.94873046875,853.9287719726562,-481.31103515625,-263.2424621582031,829.6478881835938,-1750.7481689453125,-120.10240936279297,537.958251953125,-1748.865478515625,-261.1710510253906,537.3139038085938,-1781.7576904296875,-258.5274963378906,673.48779296875,-1783.99560546875,-118.02757263183594,674.6447143554688,-1740.65234375,-492.79547119140625,527.0849609375,-1744.4302978515625,-632.927978515625,521.1383666992188,-1766.5855712890625,-636.9903564453125,663.9600219726562,-1772.6986083984375,-493.23565673828125,662.3253173828125,-1784.7506103515625,-489.75225830078125,713.0225830078125,-1778.4400634765625,-633.0401000976562,718.5217895507812,-1808.0052490234375,-632.4374389648438,857.5152587890625,-1811.9522705078125,-492.67962646484375,853.7440185546875,-1795.7933349609375,-116.67913818359375,724.1943359375,-1822.6805419921875,-260.8233947753906,860.3920288085938,-1825.2823486328125,-117.66460418701172,862.84375,-1794.703369140625,-258.8313293457031,720.1029052734375
15,0.07,-594.219482421875,-493.75457763671875,884.5595703125,-574.9078979492188,-525.6503295898438,830.2673950195312,-531.0746459960938,-534.5147705078125,847.5919799804688,-500.9255676269531,-290.3266906738281,877.2393188476562,-546.0447998046875,-263.917236328125,853.9114990234375,-481.2939758300781,-263.236572265625,829.6184692382812,-1750.7677001953125,-120.01691436767578,537.94921875,-1748.89794921875,-261.0843811035156,537.2333984375,-1781.8284912109375,-258.5224914550781,673.4814453125,-1783.935546875,-117.98787689208984,674.430908203125,-1741.103271484375,-492.5180358886719,526.7929077148438,-1744.3868408203125,-633.1052856445312,521.2611694335938,-1766.869873046875,-636.8392944335938,663.9214477539062,-1772.7242431640625,-493.0690002441406,662.1018676757812,-1784.7655029296875,-490.1824035644531,713.4680786132812,-1778.52880859375,-632.9898681640625,718.4697875976562,-1808.0352783203125,-632.3395385742188,857.4222412109375,-1811.9530029296875,-492.756591796875,853.6807250976562,-1795.8372802734375,-116.69357299804688,724.2255249023438,-1822.765625,-260.62139892578125,860.2654418945312,-1825.28955078125,-117.52069854736328,862.6402587890625,-1794.7442626953125,-258.9527893066406,720.0740966796875
16,0.075,-594.2265014648438,-493.7547302246094,884.5697631835938,-574.87890625,-525.9135131835938,830.5503540039062,-531.1109619140625,-534.536376953125,847.5791625976562,-500.9659118652344,-290.3535461425781,877.2916870117188,-546.0408325195312,-263.9504089355469,853.897705078125,-481.29669189453125,-263.2334289550781,829.629150390625,-1750.740234375,-120.12073516845703,537.9308471679688,-1748.868408203125,-261.12298583984375,537.2405395507812,-1781.8388671875,-258.4263916015625,673.4090576171875,-1783.94091796875,-117.99549102783203,674.421875,-1740.962158203125,-492.6333923339844,526.8631591796875,-1744.379638671875,-632.9426879882812,521.1707153320312,-1766.81005859375,-636.8890991210938,663.9386596679688,-1772.7210693359375,-493.0860595703125,662.1715698242188,-1784.698974609375,-490.1900939941406,713.502197265625,-1778.3895263671875,-633.05908203125,718.554443359375,-1808.0098876953125,-632.3524780273438,857.433349609375,-1811.9486083984375,-492.7458801269531,853.8819580078125,-1795.8365478515625,-116.67437744140625,724.19091796875,-1818.6358642578125,-264.1191711425781,861.11962890625,-1825.267578125,-117.54712677001953,862.7086791992188,-1794.6602783203125,-258.6665954589844,720.1135864257812
17,0.08,-594.194580078125,-493.7421875,884.5524291992188,-576.15087890625,-527.9225463867188,832.8301391601562,-531.162353515625,-534.584716796875,847.6362915039062,-500.97381591796875,-290.3482971191406,877.3421630859375,-546.0534057617188,-263.94158935546875,853.9261474609375,-481.2943420410156,-263.2184753417969,829.6357421875,-1750.775146484375,-120.00770568847656,537.9960327148438,-1748.8795166015625,-261.1129150390625,537.22119140625,-1781.8116455078125,-258.54541015625,673.4580688476562,-1783.998046875,-118.12041473388672,674.6005249023438,-1740.92626953125,-492.67095947265625,526.9027709960938,-1744.4134521484375,-633.04833984375,521.183349609375,-1766.7802734375,-636.9390869140625,664.0172729492188,-1772.6746826171875,-493.1244812011719,662.2306518554688,-1784.7117919921875,-490.17669677734375,713.4854125976562,-1778.428466796875,-633.0646362304688,718.5361328125,-1808.0125732421875,-632.4091796875,857.4304809570312,-1811.917236328125,-492.74786376953125,853.7630004882812,-1795.794677734375,-116.69456481933594,724.2340698242188,-1822.7806396484375,-260.47039794921875,860.078369140625,-1825.2960205078125,-117.55199432373047,862.7662963867188,-1794.6700439453125,-258.65936279296875,720.1316528320312
18,0.085,-594.2221069335938,-493.7451171875,884.5524291992188,-574.9026489257812,-525.879150390625,830.5433349609375,-531.1729736328125,-534.546875,847.6224365234375,-500.9804382324219,-290.3506164550781,877.3428955078125,-546.0958862304688,-263.9454650878906,853.9306640625,-481.3112487792969,-263.2306823730469,829.6553344726562,-1750.7568359375,-120.06390380859375,537.9236450195312,-1748.8702392578125,-261.1086120605469,537.2332153320312,-1781.746826171875,-258.4800109863281,673.48291015625,-1784.0325927734375,-118.03645324707031,674.6182250976562,-1741.0281982421875,-492.59002685546875,526.89013671875,-1744.411376953125,-632.85546875,521.1114501953125,-1766.73828125,-636.9300537109375,663.9340209960938,-1772.6923828125,-493.24078369140625,662.2682495117188,-1784.6805419921875,-490.2843322753906,713.5028076171875,-1778.4190673828125,-633.0638427734375,718.5003662109375,-1808.005615234375,-632.345458984375,857.4458618164062,-1811.965576171875,-492.77264404296875,853.69189453125,-1795.8162841796875,-116.74933624267578,724.2180786132812,-1822.692138671875,-260.5923767089844,860.148681640625,-1825.2628173828125,-117.5146713256836,862.629150390625,-1794.6575927734375,-258.9926452636719,720.1669921875
19,0.09,-593.91796875,-493.6768493652344,884.33349609375,-575.0130004882812,-526.0563354492188,830.7688598632812,-531.179931640625,-534.6077880859375,847.6505126953125,-500.97698974609375,-290.33966064453125,877.2545166015625,-546.0466918945312,-263.9230651855469,853.8894653320312,-481.2822265625,-263.2170104980469,829.618408203125,-1750.791015625,-120.02896881103516,537.8792114257812,-1748.8681640625,-261.1462097167969,537.2413330078125,-1781.7957763671875,-258.4950256347656,673.4656982421875,-1784.0286865234375,-118.10472106933594,674.6257934570312,-1740.98046875,-492.6210632324219,526.8505249023438,-1744.452392578125,-632.8618774414062,521.0640869140625,-1766.806884765625,-636.9117431640625,663.9894409179688,-1772.7557373046875,-493.2120361328125,662.2456665039062,-1784.6680908203125,-490.2344970703125,713.5282592773438,-1778.4669189453125,-633.0667114257812,718.505126953125,-1808.053466796875,-632.2891235351562,857.380615234375,-1811.9515380859375,-492.634033203125,853.64111328125,-1795.7955322265625,-116.60748291015625,724.1452026367188,-1818.669921875,-264.1255798339844,861.1290283203125,-1825.309326171875,-117.47096252441406,862.6641845703125,-1794.726318359375,-258.7796325683594,720.0415649414062
20,0.095,-593.9017944335938,-493.6539611816406,884.3348999023438,-575.024658203125,-525.99560546875,830.7345581054688,-531.1383056640625,-534.566162109375,847.6083374023438,-500.9556579589844,-290.33367919921875,877.269775390625,-546.06005859375,-263.9304504394531,853.9119262695312,-481.302490234375,-263.21881103515625,829.5936279296875,-1750.7745361328125,-120.0712661743164,537.9429321289062,-1748.87646484375,-261.13494873046875,537.2431030273438,-1781.838623046875,-258.48040771484375,673.4591674804688,-1784.018798828125,-118.02803039550781,674.6319580078125,-1741.1568603515625,-492.5813293457031,526.8377075195312,-1744.4136962890625,-632.877685546875,521.12255859375,-1766.78271484375,-636.9212646484375,663.9497680664062,-1772.6927490234375,-493.038330078125,662.0731811523438,-1784.7578125,-490.1876220703125,713.4608764648438,-1778.50927734375,-632.9859008789062,718.5073852539062,-1807.994140625,-632.4061889648438,857.495849609375,-1811.99755859375,-492.8062438964844,853.7385864257812,-1795.829345703125,-116.57697296142578,724.1119995117188,-1822.7537841796875,-260.5308837890625,860.1576538085938,-1825.2681884765625,-117.64134979248047,862.8043823242188,-1794.67724609375,-258.80633544921875,720.1701049804688
